"cod_dpto","nom_dpto","cod_prov","nom_prov","nom_cap","num_dist","sup_tot","pob_total","total_pers","c5_p2_1","c5_p2_2","num_viv_pa","num_viv_op","num_hog","almenosuna","c1nbi_abs","c2nbi_abs","c3nbi_abs","c4nbi_abs","c5nbi_abs","nbi1_abs","nbi2_abs","nbi3_abs","nbi4_abs","nbi5_abs","vs_sh","vs_agua_rp","vs_aelec","v_ptierra","v_1hab","h_lenna","h_cocin","hs_pclptb","hs_tcelu","hs_inter","pet","pea","peao","pead","pei","c5_p12_2","c5_p12_1","c5_p8_6","c5_p8_1","c5_p9_3","c5_p9_4","c5_p9_5","c5_p9_6","c5_p10_1","c5_p10_4","gr_edad_1","gr_edad_2","gr_edad_3","gr_edad_4","gr_edad_5","gr_quin_1","gr_quin_2","gr_quin_3","gr_quin_4","gr_quin_5","p_sex_h","p_sex_m","almenosu_1","c1nbi_porc","c2nbi_porc","c3nbi_porc","c4nbi_porc","c5nbi_porc","nbi1_porc","nbi2_porc","nbi3_porc","nbi4_porc","nbi5_porc","pvs_sh","pvs_agua_r","pvs_aelec","pv_ptierra","pv_1hab","ph_cocin","phs_pclptb","phs_tcelu","phs_inter","p_pet","p_pea","p_pea_o","p_pea_d","p_pei","p_lees_no","p_lees_si","p_af_ning","p_af_sis","p_dl_hab","p_dl_mov","p_dl_ent","p_dl_rel","p_dni","p_no_docum","p_ge_0a14","p_ge_15a29","p_ge_30a44","p_ge_45a64","p_ge_65ym","pgr_quin1","pgr_quin2","pgr_quin3","pgr_quin4","pgr_quin5","fuente"
"1","AMAZONAS","101","CHACHAPOYAS","CHACHAPOYAS","21","3,312.37","55,506","52,273","27,301","28,205","21,626","13,999","15,337","11,609","9,277","1,931","371","30","0","5,091","5,008","1,949","728","1,596","3,308","1,549","1,751","6,434","2,302","8,101","8,285","11,562","2,475","13,671","42,135","24,109","23,315","794","18,026","6,078","46,783","9,041","32,860","489","1,498","693","361","55,123","127","14,414","14,089","11,768","8,377","6,858","4,519","4,806","5,089","4,847","4,704","49.185674","50.814326","22.208406","17.747212","3.694068","0.709735","0.057391","0","9.739254","9.580472","3.728502","1.392688","3.053201","23.630259","11.065076","12.508036","45.960426","16.444032","54.019691","75.386321","16.137445","89.13738","75.910712","43.434944","42.004468","1.430476","32.475768","10.950168","84.284582","16.288329","59.200807","0.880986","2.698807","1.248514","0.65038","99.309985","0.228804","25.968364","25.382841","21.201312","15.092062","12.355421","8.141462","8.658523","9.168378","8.732389","8.474759","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"1","AMAZONAS","102","BAGUA","BAGUA","6","5,652.72","74,100","70,444","37,198","36,902","24,789","19,520","20,474","39,214","22,043","12,307","4,053","756","55","27,831","22,180","3,986","3,704","4,414","10,498","4,906","6,316","11,569","9,397","13,117","13,409","18,116","7,969","19,520","51,154","25,920","24,431","1,489","25,234","11,546","58,015","9,824","54,088","617","1,543","749","462","71,457","1,372","24,493","17,640","14,760","10,507","6,700","7,761","8,518","8,214","6,602","5,537","50.19973","49.80027","55.666913","31.291522","17.470615","5.753506","1.073193","0.078076","39.507978","31.486003","5.658395","5.258077","6.26597","53.780738","25.133197","32.356557","59.267418","48.140369","65.49282","88.482954","38.922536","95.340432","69.033738","34.979757","32.97031","2.009447","34.053981","15.581646","78.292848","13.25776","72.993252","0.832659","2.082321","1.010796","0.623482","96.433198","1.851552","33.053981","23.805668","19.919028","14.179487","9.041835","10.473684","11.495277","11.08502","8.909582","7.472335","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"1","AMAZONAS","103","BONGARA","JUMBILLA","12","2,869.65","25,637","24,649","12,851","12,786","10,915","7,308","7,813","11,272","8,263","2,613","375","16","5","7,689","3,934","1,532","412","1,136","2,592","1,027","1,283","4,087","2,057","5,468","5,527","7,033","1,502","7,579","18,902","10,849","10,600","249","8,053","3,450","20,918","4,387","18,057","429","864","362","187","25,416","78","7,270","5,748","5,415","4,140","3,064","2,226","2,496","2,548","2,085","1,751","50.12677","49.87323","45.73005","33.522658","10.600836","1.52136","0.064911","0.020285","31.193963","15.96008","6.215262","1.671467","4.608706","35.46798","14.053093","17.556103","55.925014","28.147236","70.741073","90.016639","19.22437","97.004992","73.729376","42.317744","41.346491","0.971252","31.411632","13.457113","81.59301","17.111987","70.433358","1.673363","3.370129","1.412022","0.729415","99.137965","0.304248","28.357452","22.42072","21.121816","16.148535","11.951476","8.682763","9.735929","9.93876","8.132777","6.829972","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"1","AMAZONAS","104","CONDORCANQUI","SANTA MARIA DE NIEVA","3","17,975.39","42,470","40,901","21,070","21,400","12,269","9,716","9,867","36,713","13,853","14,920","6,480","1,325","135","27,204","21,515","10,148","5,204","5,037","9,035","6,539","7,924","7,228","6,247","8,808","8,834","9,504","7,652","9,810","23,580","8,336","7,300","1,036","15,244","8,594","29,994","5,803","33,802","124","231","92","75","39,074","1,863","19,891","10,055","7,297","3,585","1,642","6,693","7,197","6,001","4,088","2,976","49.61149","50.38851","89.760642","33.869588","36.478326","15.843133","3.23953","0.330065","66.511821","52.602626","24.811129","12.723405","12.315102","92.990943","67.301359","81.556196","74.392754","64.296007","89.530759","96.32107","77.551434","99.422317","55.521545","19.627973","17.188604","2.439369","35.893572","20.23546","70.62397","13.663763","79.590299","0.291971","0.543913","0.216623","0.176595","92.003767","4.386626","46.835413","23.675536","17.18154","8.441253","3.866259","15.75936","16.94608","14.129974","9.625618","7.007299","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"1","AMAZONAS","105","LUYA","LAMUD","23","3,236.68","44,436","43,726","22,586","21,850","18,035","12,757","13,202","11,334","9,194","1,877","226","37","0","3,307","5,130","1,223","820","3,294","5,939","1,376","1,871","10,501","2,617","11,369","11,411","12,556","3,498","12,931","31,424","15,016","14,666","350","16,408","7,638","34,354","4,420","36,541","628","1,537","742","412","43,852","277","13,916","9,300","8,500","6,589","6,131","4,325","4,773","4,818","3,665","2,704","50.828157","49.171843","25.920505","21.026392","4.292641","0.516855","0.084618","0","7.563006","11.73215","2.796963","1.875314","7.533275","46.554833","10.786235","14.666458","82.315591","20.514227","86.433874","95.106802","26.495985","97.947281","70.717436","33.792421","33.004771","0.78765","36.925016","17.188766","77.311189","9.94689","82.232874","1.413269","3.458907","1.669817","0.927176","98.68575","0.623368","31.31695","20.928977","19.128634","14.828067","13.797372","9.733099","10.741291","10.84256","8.247817","6.085156","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"1","AMAZONAS","106","RODRIGUEZ DE MENDOZA","MENDOZA","12","2,359.39","29,998","29,241","15,574","14,424","11,994","8,904","9,168","15,736","10,205","4,453","990","81","7","12,769","3,757","3,586","922","1,406","4,328","2,216","2,009","5,483","2,073","7,344","7,374","8,521","2,925","8,973","21,318","11,723","11,510","213","9,595","4,323","24,095","5,637","20,815","333","885","447","278","29,635","140","9,236","6,101","6,147","4,660","3,854","2,864","3,234","3,138","2,236","1,777","51.916794","48.083206","53.814849","34.899627","15.228617","3.385657","0.277008","0.023939","43.668137","12.848398","12.263602","3.153107","4.808317","48.607367","24.887691","22.562893","61.579066","23.281671","80.431937","92.942845","31.90445","97.873037","71.064738","39.079272","38.369225","0.710047","31.985466","14.410961","80.322021","18.791253","69.387959","1.110074","2.950197","1.490099","0.926728","98.789919","0.466698","30.788719","20.338023","20.491366","15.534369","12.847523","9.547303","10.780719","10.460697","7.45383","5.923728","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"1","AMAZONAS","107","UTCUBAMBA","BAGUA GRANDE","7","3,842.93","107,237","105,281","54,695","52,542","39,178","30,203","31,503","41,904","29,762","9,788","2,138","198","18","17,626","26,021","3,147","2,601","7,239","16,503","5,423","5,808","18,252","12,359","20,713","21,073","28,238","6,838","30,097","76,268","39,706","38,197","1,509","36,562","17,064","84,202","14,272","80,664","1,031","2,949","1,264","833","106,288","460","33,087","25,772","22,526","14,801","11,051","10,294","11,485","11,308","9,702","8,247","51.003851","48.996149","39.802054","28.269108","9.297024","2.030756","0.188068","0.017097","16.741862","24.715761","2.989143","2.470531","6.875885","54.640268","17.95517","19.229878","60.431083","40.919776","66.892042","89.635908","21.705869","95.536933","71.120975","37.026399","35.619236","1.407164","34.094576","15.912418","78.519541","13.308839","75.220306","0.961422","2.749984","1.178698","0.776784","99.115044","0.428956","30.85409","24.03275","21.00581","13.802139","10.305212","9.599299","10.709923","10.544868","9.04725","7.690443","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","201","HUARAZ","HUARAZ","12","2,493.31","163,936","159,081","80,099","83,837","57,443","41,809","46,254","33,460","28,222","4,453","732","53","0","2,350","18,030","10,217","2,377","6,562","8,193","2,560","4,322","15,316","8,256","21,501","21,857","29,267","7,377","34,358","124,500","67,998","63,677","4,321","56,502","20,049","135,570","32,279","90,834","914","5,442","1,730","1,069","162,886","283","42,012","42,078","36,081","23,579","20,186","14,223","14,050","13,739","14,261","14,379","48.859921","51.140079","21.03331","17.740648","2.799203","0.460143","0.033316","0","1.477235","11.333849","6.422514","1.494207","4.124943","19.596259","6.123084","10.337487","36.633261","19.746944","47.254292","63.274528","15.948891","74.281143","75.944271","41.478382","38.842597","2.635785","34.465889","12.229773","82.696906","19.690001","55.408208","0.557535","3.319588","1.05529","0.652084","99.359506","0.172628","25.627074","25.667334","22.009199","14.383052","12.313342","8.675947","8.570418","8.38071","8.699126","8.771106","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","202","AIJA","AIJA","5","696.72","6,316","5,837","3,242","3,074","3,305","1,941","2,005","1,991","1,379","447","159","6","0","277","743","1,400","76","278","813","438","413","1,718","422","1,786","1,902","1,886","642","1,942","4,718","2,494","2,407","87","2,224","729","5,310","526","4,542","36","245","51","24","6,293","5","1,722","1,186","1,193","1,038","1,177","478","565","679","484","320","51.329956","48.670044","34.109988","23.62515","7.658044","2.724002","0.102793","0","4.745588","12.729142","23.984924","1.302039","4.762721","41.885626","22.565688","21.277692","88.511077","21.74137","94.862843","94.064838","32.01995","96.857855","74.699177","39.487017","38.109563","1.377454","35.21216","11.542115","84.072198","8.328056","71.912603","0.569981","3.879037","0.807473","0.379987","99.635845","0.079164","27.264091","18.777707","18.888537","16.434452","18.635212","7.568081","8.945535","10.750475","7.663078","5.066498","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","203","ANTONIO RAYMONDI","LLAMELLIN","6","561.61","13,650","13,226","6,722","6,928","6,508","3,786","3,927","5,697","4,391","1,092","197","17","0","39","1,170","4,037","242","1,746","2,081","295","697","3,439","481","3,576","3,630","3,614","872","3,897","9,286","3,170","3,052","118","6,116","2,678","10,245","931","11,048","75","494","97","67","13,450","72","4,672","2,488","2,396","1,993","2,101","1,385","1,521","1,766","1,216","627","49.245421","50.754579","43.074248","33.199758","8.256465","1.48949","0.128535","0","0.294874","8.846212","30.523212","1.829729","13.20127","54.965663","7.791865","18.409931","90.834654","12.704702","92.436975","92.029539","22.205246","99.236058","68.029304","23.223443","22.358974","0.864469","44.805861","19.619048","75.054945","6.820513","80.937729","0.549451","3.619048","0.710623","0.490842","98.534799","0.527473","34.227106","18.227106","17.553114","14.600733","15.391941","10.14652","11.142857","12.937729","8.908425","4.593407","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
